user_id,module,action,ip_address,details,id,created_at,updated_at,is_deleted
1,auth,login_success,127.0.0.1,"{""username"": ""Commander""}",17,2025-11-26 16:44:15.048555,2025-11-26 16:44:15.048557,0
1,auth,login_success,127.0.0.1,"{""username"": ""Commander""}",18,2025-11-26 17:08:29.762759,2025-11-26 17:08:29.762761,0
1,auth,login_success,127.0.0.1,"{""username"": ""Commander""}",19,2025-11-27 07:57:22.305573,2025-11-27 07:57:22.305577,0
1,auth,logout,127.0.0.1,"{""username"": ""Constantine Myles""}",20,2025-11-27 08:02:30.819882,2025-11-27 08:02:30.819890,0
1,auth,login_success,127.0.0.1,"{""username"": ""Constantine Myles""}",21,2025-11-27 08:02:44.858389,2025-11-27 08:02:44.858395,0
1,auth,login_success,127.0.0.1,"{""username"": ""Constantine Myles""}",22,2025-11-27 12:27:26.948391,2025-11-27 12:27:26.948396,0
1,auth,login_success,127.0.0.1,"{""username"": ""Constantine Myles""}",23,2025-11-27 12:44:52.013144,2025-11-27 12:44:52.013149,0
1,inventory,edit,127.0.0.1,"{""args"": ""()"", ""kwargs"": ""{'product_id': 1}""}",24,2025-11-27 12:49:11.565774,2025-11-27 12:49:11.565782,0
1,inventory,edit,127.0.0.1,"{""args"": ""()"", ""kwargs"": ""{'product_id': 8}""}",25,2025-11-27 12:49:37.383658,2025-11-27 12:49:37.383662,0
1,inventory,edit,127.0.0.1,"{""args"": ""()"", ""kwargs"": ""{'product_id': 5}""}",26,2025-11-27 12:50:00.327118,2025-11-27 12:50:00.327121,0
1,inventory,export,127.0.0.1,"{""args"": ""()"", ""kwargs"": ""{'format': 'csv'}""}",27,2025-11-27 12:50:03.528628,2025-11-27 12:50:03.528632,0
1,inventory,export,127.0.0.1,"{""args"": ""()"", ""kwargs"": ""{'format': 'excel'}""}",28,2025-11-27 12:50:03.684955,2025-11-27 12:50:03.684959,0
1,inventory,export,127.0.0.1,"{""args"": ""()"", ""kwargs"": ""{'format': 'excel'}""}",29,2025-11-27 12:50:16.144667,2025-11-27 12:50:16.144675,0
1,inventory,export,127.0.0.1,"{""args"": ""()"", ""kwargs"": ""{'format': 'excel'}""}",30,2025-11-27 12:50:26.578913,2025-11-27 12:50:26.578919,0
1,inventory,edit,127.0.0.1,"{""args"": ""()"", ""kwargs"": ""{'product_id': 1}""}",31,2025-11-27 13:21:44.329108,2025-11-27 13:21:44.329113,0
1,auth,login_success,127.0.0.1,"{""username"": ""Constantine Myles""}",32,2025-11-27 13:33:12.938819,2025-11-27 13:33:12.938823,0
1,ai,chat,127.0.0.1,"{""session_id"": 1, ""message_preview"": ""帮我分析今日的销售数据趋势"", ""tokens"": 575}",33,2025-11-27 13:37:18.192522,2025-11-27 13:37:18.192524,0
1,auth,login_success,127.0.0.1,"{""username"": ""Constantine Myles""}",34,2025-12-01 15:11:37.896581,2025-12-01 15:11:37.896583,0
1,auth,login_success,127.0.0.1,"{""username"": ""Constantine Myles""}",35,2025-12-01 15:52:29.757707,2025-12-01 15:52:29.757709,0
1,auth,login_success,127.0.0.1,"{""username"": ""Constantine Myles""}",36,2025-12-01 16:31:03.153748,2025-12-01 16:31:03.153750,0
1,auth,login_success,127.0.0.1,"{""username"": ""Constantine Myles""}",37,2025-12-03 14:15:06.336443,2025-12-03 14:15:06.336448,0
1,inventory,edit,127.0.0.1,"{""args"": ""()"", ""kwargs"": ""{'product_id': 1}""}",38,2025-12-03 15:04:57.980587,2025-12-03 15:04:57.980591,0
1,inventory,edit,127.0.0.1,"{""args"": ""()"", ""kwargs"": ""{'product_id': 1}""}",39,2025-12-03 15:05:24.179398,2025-12-03 15:05:24.179402,0
1,inventory,export,127.0.0.1,"{""args"": ""()"", ""kwargs"": ""{'format': 'csv'}""}",40,2025-12-03 15:10:48.542158,2025-12-03 15:10:48.542162,0
